id,name,latitude,longitude ,feature class,feature code,admin1,admin2,admin3,admin4,population,demelev
49518,Republic of Rwanda,-2,30,A,PCLI,0,,,,12301939,1354
49521,Muvogero,-1.1294,30.3436,H,STM,0,,,,0,1323
49524,Muhavura,-1.3806,29.6773,T,VLC,0,,,,0,3970
49525,Vigaga,-1.35,29.88333,H,STM,0,,,,0,2217
49526,Volcan Karisimbi,-1.50778,29.44722,T,VLC,0,,,,0,4302
49528,Volcan Gahinga,-1.3844,29.644,T,VLC,,,,,0,3389
158375,Ravin Kanyonza,-1.07482,30.45717,H,RVN,0,,,,0,1275
201358,Zivu,-2.5551,29.8106,P,PPLL,15,22,2213,221305,0,1582
201359,Zaza,-2.16965,30.42621,P,PPL,11,56,5614,561403,0,1425
201360,Zanzati,-1.8,30.08333,H,STM,13,,,,0,1498
201361,Yanze,-1.9402,30.0334,H,STM,12,,,,0,1417
201362,Kuwinka,-2.4876,29.2074,T,MT,14,36,3602,360203,0,2223
201364,Warufu,-1.6452,30.2271,H,STM,13,,,,0,1565
201365,Île Wahu,-1.92941,29.1463,T,ISL,14,,,,0,1461
201366,Vumwe,-2.1258,30.4924,P,PPLL,11,56,5612,561201,0,1469
201367,Uwamabende,-2.48333,29.41667,H,STM,15,,,,0,2220
201368,Plaine Urwuya,-1.8,30.65,T,PLN,11,,,,0,1342
201369,Urwindi,-1.4296,30.4926,H,STMI,11,,,,0,1322
201370,Uruumanza,-2.1541,29.8517,H,STM,15,,,,0,1470
201371,Urugondo,-2.2013,29.844,H,STM,15,,,,0,1497
201372,Nkungu,-2.0757,30.445,H,STM,11,,,,0,1336
201373,Urwanda,-2.3408,30.1525,H,STMI,11,,,,0,1350
201374,Ungu,-1.46667,29.53333,L,LCTY,13,,,,0,2438
201375,Île Udushivire,-2.08333,29.26667,T,ISL,14,,,,0,1461
201376,Twinyoni,-2.68333,29.33333,T,MT,15,23,2310,231005,0,2532
201377,Tunduti,-2.2238,30.4678,P,PPLL,11,56,5604,560404,0,1326
201378,Tunani,-2.3495,29.5393,P,PPLL,15,25,2505,250501,0,1829
201379,Tumba,-2.6297,29.738,P,PPL,15,24,2414,241403,0,1773
201380,Tshyabyavi,-1.41667,29.61667,L,LCTY,13,,,,0,2437
201381,Tshyabariza,-2.06778,29.99472,H,STM,15,,,,0,1347
201382,Tshungo,-2.06667,29.78333,P,PPLL,15,27,2701,270104,0,1822
201383,Kibumba,-1.9809,29.76738,L,LCTY,15,,,,0,1743
201384,Cyonyonyo,-1.8454,29.9907,H,STM,13,,,,0,1616
201385,Cyobe,-2.13689,29.86953,P,PPLL,15,26,2606,260605,0,1525
201386,Cyinzovu,-2.039,30.5626,P,PPLL,11,54,5403,540302,0,1645
201387,Kimpondwe,-1.8609,29.812,H,STM,15,,,,0,1415
201388,Tshibumba,-1.45,30.2,H,STM,11,,,,0,1405
201389,Tshewazimbuzi,-2.48333,29.36667,H,STM,15,,,,0,2299
201390,Cyacika,-1.8551,29.8851,H,STM,13,,,,0,1447
201391,Tsharubindi,-1.43333,29.55,L,LCTY,13,,,,0,2433
201392,Tongati,-2.18333,29.5,P,PPLL,14,31,3111,311103,0,1816
201393,Tembero,-1.36667,29.71667,L,LCTY,13,,,,0,2250
201394,Île Tembabagoye,-2.01389,29.3075,T,ISL,14,,,,0,1461
201395,Tema,-2.28333,29.35,L,LCTY,14,,,,0,2430
201396,Tema,-2.21917,29.36361,P,PPLL,14,31,3113,311301,0,2346
201397,Chute Taruka,-1.46667,29.75,H,FLLS,13,,,,0,2000
201398,Île Tarera,-2.25712,29.16221,T,ISL,14,,,,0,1461
201399,Tangaro,-2.56444,29.18306,H,STM,14,,,,0,1704
201400,Takwe,-2.0372,29.7966,H,STM,15,,,,0,1747
201401,Takwe,-2.0405,29.7809,P,PPL,15,27,2701,270103,0,1777
201402,Sumu,-2.83333,29.36667,H,STM,15,,,,0,1634
201403,Sovu,-2.5567,29.7049,P,PPL,15,24,2402,240204,0,1776
201404,Songa,-2.01111,29.61167,H,STM,14,,,,0,1663
201405,Bizi,-1.6484,30.0809,H,STM,13,,,,0,1886
201406,Sinabyaye,-1.3918,29.6541,V,FRST,13,,,,0,3064
201407,Simbi,-2.5109,29.6675,P,PPL,15,24,2413,241304,0,1718
201409,Sogwe,-2.3808,29.7745,P,PPLL,15,24,2405,240502,0,1706
201410,Shyogwe,-2.1137,29.7717,P,PPL,15,27,2712,271201,0,1865
201411,Shyira,-1.6752,29.6323,P,PPL,14,34,3412,341204,0,1652
201412,Shyembe,-2.3295,29.5762,P,PPLL,15,25,2505,250504,0,1665
201413,Shya,-2.1508,29.2646,P,PPLL,14,,,,0,1461
201414,Sholi,-2.1567,30.2908,P,PPLL,11,56,5611,561102,0,1384
201415,Shori,-2,29.9,P,PPLL,15,28,2801,280104,0,1726
201416,Île Shangwe,-2.38111,29.06046,T,ISL,14,,,,0,1461
201417,Shyara,-2.5643,29.1859,H,STM,14,,,,0,1682
201418,Île Shabalole,-1.85,30.78333,T,ISL,11,,,,0,1286
201419,Secoko,-2.00306,29.62806,H,STM,14,,,,0,1568
201420,Sekera,-2.6563,29.4541,P,PPLL,15,23,2306,230604,0,2168
201421,Lac Sekana,-1.78001,30.81794,H,LK,11,,,,0,1291
201422,Chute de la Sebeya,-1.7,29.31667,H,FLLS,14,,,,0,1740
201423,Sebeya,-1.7871,29.3781,H,STM,14,,,,0,2193
201424,Sebeya,-1.7025,29.2692,H,STM,14,,,,0,1600
201425,Save,-2.5427,29.7711,P,PPL,15,22,2213,221301,0,1766
201426,Satinsyi,-1.7541,29.6624,H,STM,14,,,,0,1400
201427,Île Sasa,-2.3293,29.006,T,ISL,14,,,,0,1461
201428,Sanza,-2.08202,29.57385,P,PPLL,14,31,3107,310705,0,1795
201429,Sangaza,-2.1688,30.3756,P,PPL,11,56,5614,561404,0,1415
201430,Sanja,-1.48333,29.91667,T,MT,13,44,4411,441101,0,2337
201431,Lac Sake,-2.2296,30.36,H,LK,11,,,,0,1326
201432,Sakara,-2.1938,30.5527,P,PPL,11,56,5607,560703,0,1636
201433,Nyirabirande,-1.5171,29.8426,H,STM,13,,,,0,1993
201434,Rwungo,-2.0124,29.5796,H,STM,14,,,,0,1713
201435,Rwondo,-2.27361,29.44101,H,STM,15,,,,0,1718
201436,Rwinzovu,-2.1102,30.2739,P,PPLL,11,51,5104,510404,0,1504
201437,Rwinsheke,-1.6968,30.4606,P,PPLL,11,54,5406,540602,0,1404
201438,Rwinkwavu,-1.944,30.6093,P,PPLL,11,54,5412,541204,0,1370
201439,Rwinkuba,-1.8188,30.5106,P,PPLL,11,54,5401,540104,0,1532
201440,Baie Rwincanzige,-1.46667,29.8,H,BAY,13,,,,0,1860
201441,Rwimishinya,-1.7766,30.4724,P,PPL,11,54,5410,541003,0,1621
201442,Rwimigunga,-1.95,29.95,L,LCTY,15,,,,0,1607
201443,Rwibana,-1.95833,30.07139,H,STM,12,,,,0,1399
201444,Baie Rweza,-1.86023,30.43282,H,BAY,11,,,,0,1460
201445,Lac Cyambwe,-2.0397,30.7645,H,LK,11,,,,0,1286
201446,Rwarugaju,-2.04667,30.37111,H,STM,11,,,,0,1378
201447,Rwaza,-1.5439,29.6862,P,PPLL,13,43,4314,431402,0,1784
201448,Rwata,-1.6073,30.3492,H,WTLD,11,,,,0,1384
201449,Lac Rwaruhanga,-2.16667,30.25,H,LK,11,,,,0,1329
201450,Rwanzu,-1.7509,29.5677,H,STM,14,,,,0,2199
201451,Lac Rwanyakizinga,-1.46667,30.66722,H,LK,11,,,,0,1283
201452,Rwankuba,-1.74992,29.867,P,PPLL,13,42,4219,421907,0,1609
201453,Rwankeri,-1.5842,29.5315,P,PPL,13,,,,0,2254
201454,Rwaniro,-2.4469,29.70689,P,PPLL,15,24,2412,241201,0,1659
201455,Rwangara,-2.1074,30.0757,P,PPL,11,57,5709,570902,0,1375
201456,Baie Rwamutware,-2.15012,30.34175,H,LKX,11,,,,0,1332
201457,Rwamuhire,-1.96667,29.93333,H,STM,15,,,,0,1595
201458,Lac Rwampanga,-2.0446,30.8085,H,LK,11,,,,0,1289
201459,Rwamisambi,-2.215,29.69639,H,STM,15,,,,0,1626
201460,Rwamashyongoshyo,-1.9329,30.3046,P,PPL,11,51,5102,510203,0,1701
201461,Rwamasatura,-1.5922,30.4507,T,HLL,11,53,5304,530405,0,1449
201462,Rwamakombe,-2.0869,30.4814,H,STMI,11,,,,0,1373
201463,Rwamagana,-1.9487,30.4347,P,PPLA,11,51,5106,510609,47203,1537
201464,Rwankuba,-1.8393,30.3426,P,PPL,11,53,5309,530903,0,1639
201465,Rwakaramira,-2.51667,29.71667,H,STM,15,,,,0,1635
201466,Rwakamegeri,-2.79417,29.5825,H,STM,15,,,,0,1771
201467,Baie Rwakagi,-2.15966,30.39112,H,LKX,11,,,,0,1332
201468,Rwagitima,-1.6747,30.407,H,STM,11,,,,0,1378
201469,Cratère Rwagare,-1.5892,29.356,T,CRTR,14,,,,0,2293
201470,Rwabuye,-2.5898,29.754,H,SYSI,15,,,,0,1674
201471,Rwabashyashya,-1.9619,29.9299,H,STM,15,,,,0,1522
201472,Rusise,-2.3905,29.2196,H,STM,14,,,,0,1765
201473,Île Ruzi,-2.28147,29.1365,T,ISL,14,,,,0,1461
201474,Ruvumu,-1.52528,29.66583,H,STM,13,,,,0,1658
201475,Rutsiro,-1.9147,29.4801,H,STM,14,,,,0,2278
201477,Rutovu,-2.5279,29.3751,T,HLL,15,25,2509,250901,0,2564
201478,Rutobwe,-1.97738,29.80008,P,PPL,15,27,2701,270102,0,1774
201479,Ruhete,-1.6533,30.202,H,STM,13,,,,0,1661
201480,Rutare,-1.92494,30.55072,P,PPLL,11,54,5404,540405,0,1590
201481,Rwabagabo,-2.2409,30.6549,H,STMI,11,,,,0,1402
201482,Rusuli,-2.4149,29.7007,H,STM,15,,,,0,1556
201483,Rusumo,-1.42255,29.81422,H,STM,13,,,,0,1908
201484,Rusumo Falls,-2.3807,30.7821,H,FLLS,0,,,,0,1313
201485,Rusumo,-1.5275,29.90806,H,STM,13,,,,0,2057
201486,Rushoka,-2.16667,29.23333,H,STM,14,,,,0,1487
201487,Rushenyi,-1.85,29.75,L,LCTY,15,,,,0,1737
201488,Marais Rucahabi,-2.1386,30.0389,H,MRSH,11,,,,0,1346
201489,Rusengesi,-2.1321,29.471,T,MT,14,31,3110,311009,0,2254
201490,Rusatira,-2.4302,29.773,P,PPL,15,24,2411,241101,0,1733
201491,Rusagara,-2.7118,29.753,P,PPL,15,22,2205,220506,0,1699
201492,Rorongora,-2.30403,29.47401,H,STM,15,,,,0,1654
201493,Runyinya,-2.603,29.6444,P,PPL,15,24,2403,240303,0,1788
201495,Runukangoma,-2.457,29.6925,H,STM,15,,,,0,1568
201496,Runoni,-1.4567,30.2355,H,WTLD,11,,,,0,1371
201497,Rungu,-1.74083,29.61361,H,STM,14,,,,0,1705
201498,Rundu,-2.0307,30.5205,P,PPLL,11,54,5403,540303,0,1508
201499,Runda,-1.9555,29.9445,P,PPL,15,28,2812,281202,0,1701
201500,Runazi,-2.2689,29.2222,H,STM,14,,,,0,1531
201501,Lac Rumira,-2.185,30.2361,H,LK,11,,,,0,1328
201502,Rumanika,-1.9,29.75,L,LCTY,15,,,,0,1580
201503,Rulindo,-1.721,29.9236,P,PPL,13,41,4103,410301,0,1883
201504,Ruli,-2.086,29.7763,P,PPL,15,27,2712,271204,0,1876
201506,Rurenga,-2.5886,29.1487,H,STM,14,,,,0,1380
201507,Rukoma,-2.1983,30.3785,P,PPLL,11,56,5613,561304,0,1367
201508,Rukoma,-1.98333,30.5,L,LCTY,11,,,,0,1552
201509,Rukoko,-2.0567,29.5225,P,PPL,14,32,3206,320606,0,2143
201510,Rukira,-2.1931,30.5895,P,PPL,11,56,5610,561001,0,1608
201511,Rukira,-2.15333,30.61139,P,PPL,11,56,5610,561004,0,1635
201512,Rukeri,-1.6499,29.9196,H,STM,13,,,,0,1763
201513,Ruhungamiaga,-2.05,29.66667,P,PPLL,15,27,2709,270901,0,1698
201514,Ruhosha,-2.0393,30.196,H,WTLD,12,,,,0,1361
201515,Lac Ruhondo,-1.48627,29.74901,H,LK,13,,,,0,1757
201516,Ruhira,-2.08333,29.78333,P,PPLL,15,27,2712,271204,0,1875
201517,Ruhinga II,-1.6323,29.7556,P,PPL,13,42,4209,420904,0,2006
201518,Ruhinga,-1.43333,29.55,L,LCTY,13,,,,0,2433
201519,Ruhengeri Province,-1.58333,29.66667,A,ADM1H,13,,,,953193,1811
201520,Ruhengeri,-1.62917,29.63472,H,STM,13,,,,0,1477
201521,Musanze,-1.49984,29.63497,P,PPL,13,43,4302,430206,86685,1849
201522,Ruhashya,-2.4769,29.7289,P,PPLL,15,24,2410,241007,0,1665
201523,Ruhare,-2.26667,29.63333,L,LCTY,15,,,,0,1764
201524,Ruhango,-2.2246,29.79088,P,PPLL,15,26,2609,260904,0,1703
201525,Ruhanga,-1.7485,29.5228,H,STM,14,,,,0,2251
201526,Ruhanga,-1.4525,29.8418,P,PPLL,13,44,4416,441603,0,2175
201527,Ruhakaniro,-1.78333,29.48333,H,STM,14,,,,0,2521
201528,Rugoligondi,-2.1296,30.6034,P,PPLL,11,56,5610,561002,0,1500
201529,Rugoma,-1.893,29.8767,H,STM,15,,,,0,1573
201530,Rugogwe,-2.2044,29.7252,P,PPL,15,26,2601,260105,0,1771
201531,Rugezi,-1.42472,29.81139,H,STM,13,,,,0,1867
201532,Rugeyo,-2.1948,30.0408,P,PPLL,11,57,5706,570602,0,1541
201533,Rugeramigozi,-2.1099,29.7251,H,STM,15,,,,0,1808
201534,Rugendabali,-1.9383,29.6745,P,PPLL,15,27,2711,271105,0,1593
201535,Rugerero,-1.68596,29.3005,P,PPLL,14,33,3312,331205,0,1668
201536,Rugarama,-2.2147,30.7865,P,PPLL,11,55,5512,551202,0,1610
201537,Rugarama,-2.05,29.68333,P,PPLL,15,27,2705,270501,0,1628
201538,Rugarame,-1.73444,30.47611,L,LCTY,11,,,,0,1571
201539,Ruganwa,-1.9324,30.0604,H,STM,12,,,,0,1380
201540,Ruganira,-2.1904,29.4227,H,STM,14,,,,0,1965
201541,Ruganda,-1.7997,29.897,P,PPL,13,42,4213,421308,0,1651
201542,Rugamba,-1.874,29.2888,H,STM,14,,,,0,1467
201543,Rugabano,-1.7303,30.0753,H,STM,13,,,,0,1520
201544,Rugabano,-2.1091,29.4845,P,PPL,14,31,3110,311001,0,2018
201545,Rufigiza,-1.8868,30.0812,H,STM,12,,,,0,1382
201546,Rucunda,-2.3352,29.4345,P,PPLL,15,25,2514,251403,0,2117
201547,Rubonobano,-2.21667,30.71667,H,STM,11,,,,0,1446
201548,Ruhondo,-2.1853,29.6919,H,STM,15,,,,0,1621
201549,Rubona,-2.4806,29.7756,P,PPLL,15,24,2411,241105,0,1686
201550,Rubona,-2.03894,30.39915,P,PPL,11,51,5114,511402,0,1507
201551,Rubona,-1.9955,29.8893,P,PPL,15,28,2801,280104,0,1686
201552,Rubona,-2.2323,29.7217,P,PPL,15,26,2601,260104,0,1711
201553,Rubilizi,-1.9771,30.1221,H,STMI,12,,,,0,1397
201554,Baie Rubindi,-2.17465,30.36672,H,LKX,11,,,,0,1332
201555,Baie Rubiha,-1.84909,30.4606,H,BAY,11,,,,0,1450
201556,Rubaya,-2.13944,30.83556,L,LCTY,11,,,,0,1617
201557,Rubare,-1.6,29.46667,T,MT,14,34,3402,340203,0,2723
201558,Rubange,-1.49363,29.68834,P,PPLL,13,43,4303,430304,0,1920
201559,Baie Rubanga,-2.10351,30.33864,H,LKX,11,,,,0,1332
201560,Rubanda,-2,29.6,P,PPLL,14,35,3510,351001,0,1717
201561,Rubagabaga,-1.7195,29.6369,H,STM,14,,,,0,1414
201562,Rubaba,-1.9807,29.7367,H,STM,15,,,,0,1615
201563,Remera,-2.0679,30.5529,P,PPLL,11,56,5609,560901,0,1673
201564,Remera,-2.0663,29.7343,P,PPL,15,27,2705,270502,0,1861
201565,Remera,-1.96667,29.93333,L,LCTY,15,,,,0,1595
201566,Remera,-1.9449,29.8845,P,PPLL,15,28,2811,281106,0,1733
201567,Remera,-1.93778,29.90613,S,MSSN,15,28,2811,281106,0,1804
201568,Rambura,-1.6757,29.5166,P,PPL,14,34,3409,340905,0,2419
201569,Ngarama,-1.5227,30.2355,P,PPLL,11,53,5310,531001,0,1439
201570,Kivuye,-1.4886,29.9304,P,PPL,13,44,4411,441104,0,2365
201571,Kizinga,-1.40853,30.07803,P,PPLL,13,45,4507,450702,0,1836
201572,Cyuru,-1.644,30.1208,P,PPL,13,45,4516,451602,0,2107
201573,Pindura,-2.4731,29.2203,T,PK,14,37,3713,371301,0,2402
201575,Nyundo,-1.70325,29.32574,P,PPL,14,33,3310,331007,0,1815
201576,Nyamunyereza,-2.1705,29.7345,H,STM,15,,,,0,1721
201577,Nyumba,-2.6614,29.688,P,PPL,15,24,2401,240102,0,1721
201578,Ngiryi,-2.4572,29.9045,H,STM,15,,,,0,1362
201579,Nyiramivumba,-2.1097,29.725,H,STM,15,,,,0,1808
201580,Nyiragashashi,-1.5045,30.1967,H,STM,13,,,,0,1431
201581,Nyinga,-2.2,30.6,H,STM,11,,,,0,1392
201582,Nyawera,-1.8954,30.5522,P,PPLL,11,54,5407,540704,0,1582
201583,Nyarutovu,-2.63475,29.3321,H,STM,14,,,,0,2393
201584,Nyacyana,-1.4077,30.0966,H,STM,11,,,,0,1715
201585,Nyacyonga,-2.29472,30.51611,H,STM,11,,,,0,1331
201586,Nyarwambu,-1.58083,30.27611,H,STM,11,,,,0,1406
201587,Nyarutunga,-2.1583,30.7526,P,PPL,11,55,5512,551203,0,1762
201588,Nyarutovu,-1.6921,29.6363,H,STM,13,,,,0,1425
201589,Nyaruteja,-2.7869,29.7313,P,PPL,15,22,2212,221203,0,1716
201590,Nyarusange,-2.3411,29.6693,P,PPLL,15,21,2110,211005,0,1634
201591,Nyarurama,-1.93333,29.85,L,LCTY,15,,,,0,1696
201592,Nyaruhuru,-1.8549,30.6392,T,PROM,11,,,,0,1310
201593,Nyarugumba,-1.5232,30.4238,P,PPL,11,53,5304,530405,0,1404
201594,Nyarubuye,-2.1816,30.7529,P,PPLL,11,55,5512,551203,0,1683
201595,Nyarubuye,-1.96667,29.98333,L,LCTY,15,,,,0,1451
201596,Nyakabuye,-1.969,29.8511,P,PPLL,15,28,2802,280201,0,1623
201597,Nyarubuye,-1.8799,30.3665,P,PPLL,11,51,5108,510806,0,1535
201598,Nyarubogo,-2.3102,29.9641,H,STM,15,,,,0,1349
201599,Nyarubare,-1.93333,30.66667,H,STM,11,,,,0,1487
201600,Nyanzore,-2.74111,29.38056,H,STM,15,,,,0,2205
201601,Nyanza,-2.77912,29.73551,P,PPL,15,22,2212,221201,0,1645
201602,Nyanza I,-2.4475,29.6019,P,PPLL,15,25,2502,250202,0,1971
201603,Nyanza,-2.0043,29.6762,P,PPLL,15,27,2706,270602,0,1687
201605,Nyamyumba,-1.8207,30.0469,P,PPLL,13,41,4109,410904,0,1710
201606,Nyanugeso,-1.753,30.6249,H,STM,11,,,,0,1382
201607,Île Nyankira,-2.08722,29.26472,T,ISL,14,,,,0,1461
201608,Nyange,-2.05088,29.58822,P,PPLL,14,35,3512,351203,0,1742
201609,Nyange,-2.1132,30.3507,P,PPLL,11,56,5606,560605,0,1398
201610,Nyandwa,-2.18893,29.39294,S,MN,14,31,3112,311204,0,2347
201611,Nyamyungu,-1.6,30.46667,L,LCTY,11,,,,0,1364
201612,Nyamyumba,-1.77889,29.33944,L,LCTY,14,,,,0,2089
201613,Nyamyrama,-1.93333,30.48333,L,LCTY,11,,,,0,1581
201614,Nyamiyaga,-1.79806,30.34472,L,LCTY,11,,,,0,1592
201615,Nyamuhindura,-1.84514,29.79732,H,STM,15,,,,0,1370
201616,Nyabutoshwa,-1.4572,29.6766,H,STMI,13,,,,0,1940
201617,Nyamutera,-1.6339,29.6335,H,STM,13,,,,0,1475
201618,Nyamusanze,-1.5849,29.8165,H,STMI,13,,,,0,2239
201620,Nyamukongoro,-1.6245,29.5076,H,CNL,14,,,,0,2292
201622,Nyamugendamporo,-1.6496,29.9193,H,STM,13,,,,0,1771
201623,Nyamiyaga,-2.43333,29.76667,L,LCTY,15,,,,0,1701
201624,Nyamiyaga,-2.3451,29.8694,P,PPL,15,21,2107,210705,0,1630
201625,Île Nyamirundi,-1.82833,29.28667,T,ISL,14,,,,0,1461
201626,Nyamirembe,-1.9249,29.8289,P,PPL,15,28,2802,280204,0,1684
201627,Nyamirama,-1.99444,29.77613,P,PPLL,15,27,2701,270105,0,1720
201628,Nyamikama,-1.48333,30.23333,H,STM,11,,,,0,1424
201629,Nyamigina,-2.5,29.51068,P,PPLL,15,25,2516,251606,0,2088
201630,Nyamigina,-2.3148,29.5732,P,PPLL,15,25,2512,251202,0,1639
201631,Mont Nyamidjima,-1.71547,29.56515,T,MT,14,34,3403,340306,0,2451
201632,Nyamatete,-1.6202,30.4172,P,PPLL,11,53,5304,530403,0,1629
201633,Nyamateke,-1.6,29.46667,T,MT,14,34,3402,340203,0,2723
201634,Nyamasheke,-2.3396,29.0856,P,PPL,14,37,3705,370503,0,1474
201635,Baie Nyamarebe,-1.82929,30.42633,H,BAY,11,,,,0,1450
201636,Nyamabuye,-2.0731,29.7691,P,PPL,15,27,2708,270803,0,1822
201637,Nyamabare,-1.45,29.98333,H,STM,13,,,,0,1956
201638,Nyaligina,-2.61333,29.77306,H,STM,15,,,,0,1628
201640,Nyakirambo,-1.8855,29.6712,H,STM,15,,,,0,1427
201641,Nyakabogo,-1.8592,29.8717,H,STM,15,,,,0,1374
201642,Nyakarambi,-2.2692,30.6713,P,PPLL,11,55,5505,550504,0,1577
201643,Nyakagezi,-1.85,30.25,H,STM,11,,,,0,1464
201644,Nyakagazi,-1.36667,30.16667,H,STM,11,,,,0,1467
201645,Nyakabuye,-2.16045,29.53293,P,PPLL,14,31,3106,310602,0,1721
201646,Nyakabungo,-2.0351,29.876,P,PPLL,15,28,2801,280103,0,1595
201647,Nyakabungo,-1.84045,30.57183,P,PPLL,11,54,5401,540101,0,1658
201648,Nyakabanda,-1.8228,29.6696,H,STM,15,,,,0,1434
201649,Nyagisasa,-2.5909,29.5779,H,STM,15,,,,0,1819
201650,Nyagatare,-1.2952,30.3226,P,PPL,11,52,5210,521007,0,1342
201651,Nyagasozi,-2.1559,29.7578,P,PPL,15,26,2602,260202,0,1792
201652,Nyagako,-2.0486,29.6385,H,STM,15,,,,0,1485
201653,Nyagahura,-2.13333,30.03333,H,STM,11,,,,0,1386
201654,Nyagahandagaza,-1.8449,30.537,P,PPLL,11,54,5401,540103,0,1582
201655,Nyagageza,-1.96361,30.23056,H,STM,12,,,,0,1370
201656,Nyagafunzo,-2.19144,29.68055,H,STM,15,,,,0,1581
201657,Nyacyina,-1.64972,29.86028,L,LCTY,13,,,,0,1786
201658,Nyabyiondo,-1.48722,29.94917,L,LCTY,13,,,,0,2102
201659,Nyabuvomo,-1.9039,29.9414,H,STM,15,,,,0,1401
201660,Nyabwari,-1.43333,30.53333,L,LCTY,11,,,,0,1321
201661,Nyabugonde,-2.3736,29.1442,H,STM,14,,,,0,1579
201662,Nyabugogo,-1.9494,29.9984,H,STM,12,,,,0,1357
201663,Nyabubindi,-1.9249,29.8123,H,STM,15,,,,0,1533
201664,Nyabubare,-1.6755,30.4349,P,PPLL,11,53,5313,531303,0,1383
201665,Nyabitsinde,-1.4286,29.556,L,LCTY,13,,,,0,2440
201666,Nyabinyenga,-2.3163,29.6798,P,PPL,15,21,2103,210303,0,1769
201667,Nyabinondo,-2.75861,29.33306,H,STM,0,,,,0,2078
201668,Nyabikili,-1.616,30.4091,P,PPLL,11,53,5304,530403,0,1619
201669,Nyabikenke,-1.88289,29.75341,P,PPL,15,27,2704,270404,0,1683
201670,Nyabigega,-2.2656,30.6134,L,RESF,11,,,,0,1602
201671,Nyabigega,-1.7478,30.4681,P,PPLL,11,54,5410,541003,0,1621
201672,Nyabwongorake,-1.4311,30.1358,H,STM,11,,,,0,1655
201673,Nyabasesero,-2.69292,29.63958,H,STM,15,,,,0,1698
201674,Nyabarongo,-2.3458,30.373,H,STM,0,,,,0,1324
201675,Nyabagabo,-2,29.35,H,STM,14,,,,0,1543
201676,Ntyazo,-2.42724,29.88534,P,PPL,15,21,2108,210801,0,1563
201677,Ntunga,-1.95741,30.35472,P,PPL,11,51,5108,510804,0,1620
201678,Ntonde,-2.01667,29.8,P,PPLL,15,27,2701,270105,0,1796
201679,Ntete,-1.8528,30.3678,P,PPLL,11,53,5306,530604,0,1464
201680,Ntendezi,-2.44722,29.06361,L,LCTY,14,,,,0,1771
201681,Ntaruka,-1.8619,30.4938,H,STM,11,,,,0,1451
201682,Ntaruka,-2.1446,30.7176,T,HLL,11,55,5510,551003,0,1802
201683,Ntaga,-2.0874,30.3707,P,PPLL,11,56,5606,560603,0,1414
201684,Ntagati,-2.20028,30.39694,P,PPLL,11,56,5614,561403,0,1369
201685,Nsinda,-1.9117,30.4457,P,PPLL,11,51,5106,510607,0,1520
201686,Nshili,-2.2193,30.4163,P,PPL,11,56,5613,561302,0,1525
201687,Nshili,-2.22651,30.41729,T,HLL,11,56,5613,561302,0,1574
201688,Nshili,-2.75725,29.53976,H,STM,15,,,,0,1738
201689,Isumo,-2.0245,30.2291,H,STM,9,,,,0,1337
201690,Nkungu,-2.04363,30.44172,P,PPL,11,51,5107,510702,0,1528
201691,Nkoyoyo,-2.2,30.61667,L,LCTY,11,,,,0,1420
201692,Nkoro,-1.9,29.36667,H,STM,14,,,,0,1774
201693,Nkora,-1.8458,29.2963,H,STM,14,,,,0,1470
201694,Nkondo,-1.52694,29.90833,H,STM,13,,,,0,2056
201695,Nkoma,-2.0384,29.7333,P,PPL,15,27,2705,270505,0,1820
201696,Lac Ngerenke,-1.673,30.757,H,LK,11,,,,0,1286
201697,Nkamba,-1.9749,30.4828,P,PPLL,11,54,5411,541102,0,1540
201698,Nkakwa,-2.1528,30.7282,P,PPLL,11,55,5510,551002,0,1700
201699,Nindo,-1.3733,29.7104,P,PPLL,13,44,4403,440306,0,2337
201700,Nibishyukino,-1.71667,29.55,H,STM,14,,,,0,2209
201701,Nguzi,-2.11667,30.65,L,LCTY,11,,,,0,1787
201702,Ngugu,-1.67278,30.48306,H,STM,11,,,,0,1331
201703,Ngoma,-1.4421,30.2467,H,STM,11,,,,0,1369
201704,Ngoma,-2.1741,29.2933,P,PPL,14,31,3103,310306,0,1757
201705,Ngoma,-1.9,29.33333,S,MN,14,32,3208,320803,0,1924
201706,Ngoma,-2.21686,30.41699,P,PPLL,11,56,5613,561303,0,1470
201707,Ngoma,-1.9149,29.7725,P,PPL,15,27,2702,270207,0,1498
201708,Ngiga,-2.2369,29.3536,P,PPLL,14,31,3113,311302,0,2420
201709,Île Ngarwa,-1.82306,29.27917,T,ISL,14,,,,0,1461
201710,Ngaru,-2.11311,29.63649,P,PPLL,15,27,2709,270903,0,1602
201711,Ngaru,-1.7329,29.6687,P,PPL,15,27,2707,270702,0,1405
201712,Nganzo,-2.4451,29.0501,P,PPL,14,37,3714,371402,0,1580
201713,Ngoma,-2.6,29.7255,P,PPL,15,24,2409,240904,0,1790
201714,Nyamirango,-1.64259,29.39872,P,PPLL,14,33,3306,330605,0,2341
201715,Nemba,-1.6316,29.7871,P,PPL,13,42,4216,421604,0,1754
201716,Duha,-1.8902,30.3385,P,PPLL,11,51,5109,510905,0,1565
201717,Nduba,-1.7971,30.3838,P,PPLL,11,53,5306,530601,0,1460
201718,Nduba,-1.7959,29.6839,P,PPLL,15,27,2707,270703,0,1627
